epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.4070328005335548,0.19354146041653372,0.9095970934087579,0.019532102075490086,0.8274147781458768,0.7364285714285714
2,0.16529242491180246,0.12782827426086774,0.9082377227869901,0.012908483093435114,0.8551136417822405,0.7485714285714286
3,0.11159658364274284,0.08630458942868492,1.0334052064202048,0.008616944774985313,0.8944128805940802,0.775
4,0.07858064404942773,0.06179845231500539,0.866430255499753,0.006087023680183021,0.9001893997192383,0.7692857142857142
5,0.05907838588411158,0.04357312551953576,0.8405648632483049,0.004381825364279476,0.9143465974114158,0.7764285714285715
6,0.04098437916148793,0.04165921461853114,0.865286875854839,0.004206466573205861,0.9142992442304437,0.7735714285714286
7,0.034360136904499745,0.03424122895706783,0.7459095012057911,0.0035207112616097384,0.9184659123420715,0.7792857142857142
8,0.032210921022025024,0.03116529756648974,0.6546924168413336,0.0029684462880885058,0.936553033915433,0.7814285714285715
9,0.024798836728388614,0.02361564626070586,0.7399975440718911,0.002401697713966397,0.9398674260486256,0.7821428571428571
10,0.020602812025357378,0.02321290106258609,0.7343817190690474,0.0023550001629204912,0.9328598542646929,0.785
11,0.018301732922819527,0.018482543612745674,0.7171651341698386,0.0018815260951999915,0.9435606111179698,0.7857142857142857
12,0.015406311150978912,0.016996051269498737,0.708704715425318,0.0017288927073505793,0.9471117474816062,0.7821428571428571
13,0.013449168679389086,0.017570716667581688,0.7303795489397916,0.0017914620693773031,0.9435132633556019,0.7871428571428571
14,0.012684352221814068,0.01580848434770649,0.6965896378863942,0.0015936173625629056,0.9492424292997881,0.79
15,0.011070651239292188,0.01663272912529382,0.7324441021138971,0.001655243834565309,0.9507575793699785,0.7857142857142857
16,0.011209820075468583,0.014254444194110956,0.6928835836323824,0.0014466372191567314,0.9535511406985197,0.7885714285714286
17,0.009869334668937054,0.013423309576782312,0.6664116816087202,0.0013712817189199004,0.9586647748947144,0.795
18,0.009075369931418787,0.013062784024937586,0.6791945045644586,0.0013250561155886812,0.9621685634959828,0.7942857142857143
19,0.008294748354025862,0.01178349969400601,0.6866739771582864,0.001187294589313255,0.9607481089505282,0.79
20,0.008169133935801008,0.01492208902808753,0.6657122807069258,0.001517889957705682,0.9586174271323464,0.7964285714285714
21,0.008502975284037265,0.0119915988126939,0.5950622992082075,0.0012123242010023785,0.9593276544050737,0.7971428571428572
22,0.006971698051149195,0.012158323333344677,0.6170532459562476,0.0012330875986001708,0.9592803066427057,0.79
23,0.006680935070934621,0.011457265862687067,0.6235050667415966,0.0011504340430044315,0.9622159112583507,0.7914285714285715
24,0.006611654128540646,0.014031215486201372,0.5896701595999978,0.0013954157263717868,0.9586174271323464,0.7935714285714286
25,0.00725521890615875,0.013564610261131416,0.6074572313915599,0.0013894400220702994,0.9607481089505282,0.8
26,0.005907119171355259,0.010690742934292013,0.5927587368271567,0.0010909989518536763,0.962926138531078,0.7935714285714286
27,0.004964670272205363,0.011368295008485968,0.6248448734933679,0.0011301782162098045,0.9594223553484137,0.7928571428571428
28,0.004864308953454548,0.010356951039284468,0.57525865056298,0.001047416452572427,0.9601325826211409,0.7921428571428571
29,0.005597134616056627,0.010391466150229628,0.5861160592599348,0.0010525749848139558,0.9651041735302318,0.7971428571428572
30,0.004955439587039027,0.010326162996617231,0.6104193167252974,0.0010428994057954035,0.9636363658038053,0.7942857142857143
31,0.004169762993908741,0.010174220681867817,0.5833893093195829,0.0010294558649713342,0.9665246280756864,0.7971428571428572
32,0.004222745592282577,0.00934524012898857,0.5656142939220775,0.0009526300392198292,0.962926138531078,0.795
33,0.00389015611091798,0.009703771295872602,0.5831381461837075,0.0009829259731552818,0.9651041735302318,0.7885714285714286
34,0.004040913499722427,0.010433022017506037,0.5847129036079753,0.001067868582057682,0.9664772748947144,0.7942857142857143
35,0.003992598182098432,0.009832105006683956,0.5872877619483254,0.0009996433509513736,0.9593750021674416,0.7957142857142857
36,0.0035615651825950906,0.009599765254692598,0.6098279519514604,0.0009692503478039395,0.9643939462575045,0.7921428571428571
37,0.004607406216250225,0.010821348733522675,0.5822211260145361,0.001115694409236312,0.9600378816778009,0.7992857142857143
38,0.003762483186173168,0.009341554208235308,0.5297987108880823,0.0009421281389553438,0.9651041735302318,0.7942857142857143
39,0.003402818781747059,0.010773947631770914,0.5690160176970742,0.0010720824357122183,0.9636363658038053,0.7928571428571428
40,0.0031775817021050235,0.008572367781942541,0.5739496621218595,0.0008684415740638294,0.9651041735302318,0.7928571428571428
